Phone Number,Email,Credit Score,Age Group,Family Background,Income,Intent,family_encoded,age_encoded
+91-7526561293,user0@test.com,402,26–35,Married,613672,1,0,1
+91-2904443021,user1@test.com,735,18–25,Married with Kids,934038,1,1,0
+91-2296782659,user2@test.com,570,26–35,Married with Kids,984544,1,1,1
+91-2828480088,user3@test.com,406,51+,Married,697702,0,0,3
+91-1152518275,user4@test.com,371,51+,Married with Kids,979577,0,1,3
+91-9112829327,user5@test.com,320,51+,Married,804582,0,0,3
+91-5997140033,user6@test.com,421,26–35,Married,672403,1,0,1
+91-7432682963,user7@test.com,766,36–50,Married with Kids,976038,1,1,2
+91-5281543784,user8@test.com,514,36–50,Single,664935,0,2,2
+91-8175911911,user9@test.com,630,51+,Single,154607,0,2,3
+91-9382952757,user10@test.com,758,26–35,Married with Kids,550626,1,1,1
+91-9087494650,user11@test.com,387,26–35,Married,121996,0,0,1
+91-2925153110,user12@test.com,672,51+,Married,183697,0,0,3
+91-4723001640,user13@test.com,399,18–25,Married,408166,0,0,0
+91-1562325310,user14@test.com,430,51+,Married with Kids,926580,0,1,3
+91-3818231696,user15@test.com,608,26–35,Single,692052,1,2,1
+91-8232364611,user16@test.com,643,18–25,Married,978333,1,0,0
+91-3559150230,user17@test.com,791,36–50,Married,452868,0,0,2
+91-7675388175,user18@test.com,713,18–25,Married with Kids,339190,1,1,0
+91-6662225133,user19@test.com,685,36–50,Single,108888,0,2,2
+91-9937277458,user20@test.com,491,26–35,Single,844026,1,2,1
+91-3470291462,user21@test.com,576,51+,Married with Kids,535413,0,1,3
+91-4616649586,user22@test.com,460,51+,Single,321432,0,2,3
+91-3222945012,user23@test.com,759,51+,Married with Kids,461085,0,1,3
+91-8668474994,user24@test.com,613,51+,Married,379477,0,0,3
+91-2399289168,user25@test.com,321,51+,Married with Kids,601616,0,1,3
+91-8795976872,user26@test.com,552,26–35,Married,660643,1,0,1
+91-7020195812,user27@test.com,774,26–35,Married with Kids,330487,1,1,1
+91-7695128833,user28@test.com,358,51+,Married,753974,0,0,3
+91-4012743990,user29@test.com,810,18–25,Married,567119,1,0,0
+91-1290702080,user30@test.com,775,51+,Married with Kids,786505,1,1,3
+91-3219146854,user31@test.com,489,36–50,Married,873890,0,0,2
+91-8741119708,user32@test.com,543,36–50,Single,349434,0,2,2
+91-2708221935,user33@test.com,804,36–50,Married with Kids,989602,1,1,2
+91-5205484344,user34@test.com,430,36–50,Single,437819,0,2,2
+91-8529490499,user35@test.com,784,51+,Married,280926,0,0,3
+91-2001137955,user36@test.com,320,36–50,Married,691952,0,0,2
+91-2922170560,user37@test.com,466,18–25,Married,600638,1,0,0
+91-5770177223,user38@test.com,573,51+,Married with Kids,710441,0,1,3
+91-4352594420,user39@test.com,687,36–50,Married,717904,1,0,2
+91-7218106923,user40@test.com,615,51+,Single,921717,0,2,3
+91-4871780856,user41@test.com,313,51+,Single,356349,0,2,3
+91-9323726506,user42@test.com,541,51+,Married with Kids,510749,0,1,3
+91-4289914921,user43@test.com,645,26–35,Single,671284,1,2,1
+91-8797368360,user44@test.com,639,36–50,Married with Kids,409091,0,1,2
+91-5428471251,user45@test.com,391,26–35,Married with Kids,521172,1,1,1
+91-5336773962,user46@test.com,666,18–25,Married,937462,1,0,0
+91-2533971728,user47@test.com,754,18–25,Single,551813,1,2,0
+91-1654967992,user48@test.com,727,26–35,Single,928875,1,2,1
+91-8839810519,user49@test.com,808,36–50,Single,752632,1,2,2
+91-6054803182,user50@test.com,334,51+,Married,329685,0,0,3
+91-7988868307,user51@test.com,505,18–25,Married with Kids,427608,0,1,0
+91-3491820146,user52@test.com,380,18–25,Single,752307,1,2,0
+91-3529854000,user53@test.com,687,18–25,Single,235024,1,2,0
+91-4820321027,user54@test.com,301,36–50,Single,283273,0,2,2
+91-5533932323,user55@test.com,689,26–35,Single,744742,1,2,1
+91-4536363810,user56@test.com,405,26–35,Married,224444,0,0,1
+91-9504706933,user57@test.com,776,36–50,Married with Kids,474319,0,1,2
+91-8461848468,user58@test.com,701,18–25,Single,404604,1,2,0
+91-3246582652,user59@test.com,461,36–50,Single,253868,0,2,2
+91-4031990581,user60@test.com,501,36–50,Married with Kids,262818,0,1,2
+91-7502523540,user61@test.com,569,26–35,Married,580001,1,0,1
+91-7716794904,user62@test.com,570,36–50,Married,100015,0,0,2
+91-8702523244,user63@test.com,755,36–50,Married,936189,1,0,2
+91-3838216495,user64@test.com,761,18–25,Married,257029,1,0,0
+91-5357076143,user65@test.com,551,51+,Single,705829,0,2,3
+91-7792423326,user66@test.com,595,18–25,Married with Kids,645580,1,1,0
+91-3581883780,user67@test.com,637,26–35,Married with Kids,484838,0,1,1
+91-6308562370,user68@test.com,352,51+,Married with Kids,262948,0,1,3
+91-3676451293,user69@test.com,516,18–25,Married,816087,1,0,0
+91-5104712767,user70@test.com,487,36–50,Married,147046,0,0,2
+91-6695352348,user71@test.com,679,36–50,Married with Kids,639105,1,1,2
+91-4250482001,user72@test.com,792,51+,Single,109759,0,2,3
+91-1285393154,user73@test.com,340,51+,Married,279504,0,0,3
+91-5952258745,user74@test.com,456,36–50,Single,368556,0,2,2
+91-1386951908,user75@test.com,314,26–35,Married with Kids,550973,1,1,1
+91-8002624508,user76@test.com,364,18–25,Married,382648,0,0,0
+91-4278919879,user77@test.com,820,36–50,Single,470644,0,2,2
+91-2239981889,user78@test.com,643,18–25,Married,370651,0,0,0
+91-7862284135,user79@test.com,428,18–25,Married with Kids,121050,0,1,0
+91-4968477608,user80@test.com,771,18–25,Married with Kids,498036,1,1,0
+91-8314160394,user81@test.com,362,18–25,Married with Kids,586383,1,1,0
+91-4892038270,user82@test.com,438,26–35,Single,200153,0,2,1
+91-7046598080,user83@test.com,798,26–35,Married,900019,1,0,1
+91-3075435445,user84@test.com,691,26–35,Married,331329,1,0,1
+91-8172630049,user85@test.com,718,36–50,Married,682020,1,0,2
+91-1832800232,user86@test.com,588,36–50,Married with Kids,676209,0,1,2
+91-5661988880,user87@test.com,678,36–50,Single,538715,1,2,2
+91-2062639914,user88@test.com,789,26–35,Married with Kids,742022,1,1,1
+91-4423362765,user89@test.com,530,18–25,Married with Kids,237912,0,1,0
+91-3892896945,user90@test.com,340,26–35,Single,596586,1,2,1
+91-9230282551,user91@test.com,327,36–50,Married with Kids,655728,0,1,2
+91-2407415460,user92@test.com,434,51+,Married with Kids,659471,0,1,3
+91-5448422619,user93@test.com,500,36–50,Married,982604,0,0,2
+91-6819878135,user94@test.com,332,18–25,Single,757749,1,2,0
+91-9748413899,user95@test.com,347,26–35,Single,738803,1,2,1
+91-2080188224,user96@test.com,802,51+,Married,485327,0,0,3
+91-4446964247,user97@test.com,706,51+,Single,428443,0,2,3
+91-4419703996,user98@test.com,398,18–25,Married,844821,1,0,0
+91-2244929951,user99@test.com,846,26–35,Married with Kids,739791,1,1,1
+91-1301834131,user100@test.com,761,51+,Single,139023,0,2,3
+91-3168090194,user101@test.com,304,36–50,Single,281101,0,2,2
+91-7177567601,user102@test.com,517,18–25,Married with Kids,402085,0,1,0
+91-7401877846,user103@test.com,802,51+,Married with Kids,547166,1,1,3
+91-8468399682,user104@test.com,697,18–25,Single,842319,1,2,0
+91-8493145141,user105@test.com,692,26–35,Single,176054,1,2,1
+91-5380443301,user106@test.com,506,26–35,Single,427507,0,2,1
+91-4565414552,user107@test.com,314,26–35,Married,601772,1,0,1
+91-3641430358,user108@test.com,760,36–50,Single,686030,1,2,2
+91-5861666890,user109@test.com,540,51+,Single,591112,0,2,3
+91-9005611660,user110@test.com,395,26–35,Married with Kids,669503,1,1,1
+91-5631033435,user111@test.com,784,36–50,Married with Kids,934289,1,1,2
+91-9267738054,user112@test.com,706,26–35,Married,941908,1,0,1
+91-3417274676,user113@test.com,530,26–35,Married with Kids,259245,0,1,1
+91-3397282645,user114@test.com,470,51+,Single,502611,0,2,3
+91-4308590431,user115@test.com,840,36–50,Single,946200,1,2,2
+91-8380541385,user116@test.com,335,26–35,Married,341443,0,0,1
+91-8480626154,user117@test.com,824,36–50,Married with Kids,577959,1,1,2
+91-2199042523,user118@test.com,459,36–50,Married with Kids,203591,0,1,2
+91-9906634822,user119@test.com,542,26–35,Married with Kids,349045,0,1,1
+91-5934761258,user120@test.com,385,26–35,Married,670517,1,0,1
+91-5103869114,user121@test.com,327,18–25,Married with Kids,998138,1,1,0
+91-8421272318,user122@test.com,639,51+,Married with Kids,162583,0,1,3
+91-9156420315,user123@test.com,630,26–35,Married with Kids,355931,0,1,1
+91-1249365985,user124@test.com,805,18–25,Single,259996,1,2,0
+91-4973395384,user125@test.com,647,51+,Married,750299,0,0,3
+91-3436724755,user126@test.com,772,26–35,Single,566185,1,2,1
+91-9110624465,user127@test.com,530,36–50,Married,392248,0,0,2
+91-6290609639,user128@test.com,489,51+,Married with Kids,864948,0,1,3
+91-1476907591,user129@test.com,524,36–50,Single,924026,0,2,2
+91-7441664689,user130@test.com,684,18–25,Married with Kids,365808,1,1,0
+91-8032236551,user131@test.com,676,26–35,Married with Kids,896960,1,1,1
+91-9664920007,user132@test.com,582,18–25,Married,783550,1,0,0
+91-5248946267,user133@test.com,558,26–35,Married with Kids,821393,1,1,1
+91-3929998325,user134@test.com,658,26–35,Single,554377,1,2,1
+91-2716741016,user135@test.com,755,36–50,Married,828537,1,0,2
+91-7406204029,user136@test.com,710,18–25,Married,752692,1,0,0
+91-6217644549,user137@test.com,617,36–50,Single,301664,0,2,2
+91-9189689771,user138@test.com,524,36–50,Married with Kids,395043,0,1,2
+91-6513697613,user139@test.com,533,36–50,Married with Kids,957411,0,1,2
+91-3675701824,user140@test.com,673,18–25,Married with Kids,641529,1,1,0
+91-8844365375,user141@test.com,771,26–35,Married with Kids,932643,1,1,1
+91-7456058512,user142@test.com,532,26–35,Married with Kids,687760,1,1,1
+91-1440211276,user143@test.com,412,18–25,Married,305320,0,0,0
+91-2070799176,user144@test.com,796,26–35,Married,131346,1,0,1
+91-6777349125,user145@test.com,741,18–25,Single,705484,1,2,0
+91-3732184413,user146@test.com,567,18–25,Married with Kids,466595,0,1,0
+91-2059325240,user147@test.com,809,26–35,Married with Kids,832484,1,1,1
+91-2004714797,user148@test.com,685,51+,Married with Kids,989340,1,1,3
+91-6524194947,user149@test.com,686,36–50,Single,535436,1,2,2
+91-7839860161,user150@test.com,412,18–25,Married with Kids,249014,0,1,0
+91-4614798889,user151@test.com,380,18–25,Married,935599,1,0,0
+91-8292563775,user152@test.com,412,51+,Married with Kids,922805,0,1,3
+91-1664216949,user153@test.com,301,18–25,Single,953575,1,2,0
+91-5532168874,user154@test.com,519,18–25,Married,744911,1,0,0
+91-3190428422,user155@test.com,524,26–35,Married,996445,1,0,1
+91-1307698605,user156@test.com,684,26–35,Married,102016,1,0,1
+91-5407118995,user157@test.com,702,51+,Married with Kids,955542,1,1,3
+91-1474026399,user158@test.com,429,18–25,Single,623195,1,2,0
+91-4440204402,user159@test.com,352,36–50,Single,631562,0,2,2
+91-6781567792,user160@test.com,715,26–35,Married with Kids,115748,1,1,1
+91-1338643226,user161@test.com,546,36–50,Single,513391,0,2,2
+91-8497446413,user162@test.com,738,36–50,Married,597926,1,0,2
+91-5809784111,user163@test.com,502,51+,Married,636114,0,0,3
+91-8212893656,user164@test.com,483,51+,Single,969440,0,2,3
+91-9756872900,user165@test.com,422,18–25,Single,753576,1,2,0
+91-6008710015,user166@test.com,700,51+,Married with Kids,527345,1,1,3
+91-9460933279,user167@test.com,593,26–35,Married with Kids,301081,0,1,1
+91-1844829286,user168@test.com,579,18–25,Married with Kids,875342,1,1,0
+91-3580972961,user169@test.com,497,18–25,Married with Kids,516706,1,1,0
+91-2609151312,user170@test.com,810,36–50,Married with Kids,992055,1,1,2
+91-1366871919,user171@test.com,443,36–50,Married with Kids,272507,0,1,2
+91-1025152582,user172@test.com,500,36–50,Married,830377,0,0,2
+91-2965641549,user173@test.com,423,18–25,Single,620140,1,2,0
+91-3716875984,user174@test.com,486,51+,Married with Kids,323023,0,1,3
+91-7144856239,user175@test.com,625,51+,Married,445250,0,0,3
+91-4342557793,user176@test.com,763,51+,Single,817237,1,2,3
+91-1578770683,user177@test.com,648,18–25,Single,416782,0,2,0
+91-1082341189,user178@test.com,702,18–25,Single,169072,1,2,0
+91-2391842969,user179@test.com,645,18–25,Married with Kids,167309,0,1,0
+91-8518951718,user180@test.com,810,18–25,Married with Kids,260966,1,1,0
+91-9215032602,user181@test.com,446,18–25,Married with Kids,601775,1,1,0
+91-7888576325,user182@test.com,447,51+,Single,486868,0,2,3
+91-8676811818,user183@test.com,788,18–25,Single,285639,1,2,0
+91-1860037287,user184@test.com,850,51+,Married,659614,1,0,3
+91-2381436886,user185@test.com,637,18–25,Married,810419,1,0,0
+91-5558804734,user186@test.com,772,51+,Married,891511,1,0,3
+91-8307337590,user187@test.com,450,26–35,Married,483556,0,0,1
+91-6295123282,user188@test.com,714,26–35,Single,711628,1,2,1
+91-2302913915,user189@test.com,597,51+,Married with Kids,971643,0,1,3
+91-4754362056,user190@test.com,562,26–35,Married with Kids,518810,1,1,1
+91-3224872808,user191@test.com,443,26–35,Married with Kids,404893,0,1,1
+91-5973077044,user192@test.com,645,51+,Married with Kids,791652,0,1,3
+91-1895299877,user193@test.com,301,18–25,Married,742480,1,0,0
+91-2771571564,user194@test.com,603,18–25,Single,960966,1,2,0
+91-7805130506,user195@test.com,553,51+,Married with Kids,351749,0,1,3
+91-1296490668,user196@test.com,752,36–50,Single,965665,1,2,2
+91-7354106735,user197@test.com,336,36–50,Married,676106,0,0,2
+91-9543809640,user198@test.com,459,26–35,Married,998342,1,0,1
+91-4081391677,user199@test.com,308,36–50,Married with Kids,637717,0,1,2
+91-7242628668,user200@test.com,532,26–35,Married with Kids,682036,1,1,1
+91-5899618827,user201@test.com,398,18–25,Married,673095,1,0,0
+91-8418737288,user202@test.com,507,51+,Married,369284,0,0,3
+91-3881565660,user203@test.com,430,18–25,Single,425370,0,2,0
+91-1357933026,user204@test.com,703,51+,Married,862449,1,0,3
+91-9289871330,user205@test.com,451,36–50,Single,508117,0,2,2
+91-8190882102,user206@test.com,353,18–25,Married,975247,1,0,0
+91-9086554966,user207@test.com,419,18–25,Single,914957,1,2,0
+91-4606021561,user208@test.com,719,26–35,Married,382635,1,0,1
+91-5438783640,user209@test.com,721,51+,Married,299888,0,0,3
+91-7190174042,user210@test.com,403,36–50,Single,266052,0,2,2
+91-3117030752,user211@test.com,553,18–25,Single,606733,1,2,0
